DATAFLOW,UNIT_MEASURE,MEASURE,FREQ,ECOICOP_1999,BASE_PERIOD,ECOICOP_2018,TIME_PERIOD,OBS_VALUE,UNIT_MULT,OBS_STATUS,DECIMALS,COMMENT_DSET,COMMENT_OBS,COMMENT_TS
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2013-07,97.49,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2013-08,99.77,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2013-09,98.2,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2013-10,98.88,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2013-11,98.88,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2013-12,98.47,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-01,99.13,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-02,98.75,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-03,99.04,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-04,100.48,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-05,99.48,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-06,96.86,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-07,97.29,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-08,97.57,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-09,98.88,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-10,99.49,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-11,99.11,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2014-12,100.39,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-01,100.72,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-02,99.43,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-03,99.99,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-04,100.66,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-05,99.79,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-06,100.37,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-07,100.39,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-08,99.99,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-09,100.18,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-10,99.43,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-11,98.92,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2015-12,100.13,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-01,100.19,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-02,100.35,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-03,100.17,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-04,102.23,0,,2,ECOICOP,,
LU1:DSD_ECOICOP_PRIX@DF_E5401(1.0),IND,IPCN,M,CP01191,2015,_Z,2016-05,101.67,0,,2,ECOICOP,,
